Sample,Toploader,"n
JS429,,Not conducting ,Not conducting ,Not conducting ,Not conducting ,Not conducting ,
JS428,,Not conducting ,Not conducting ,Not conducting ,Not conducting ,Not conducting ,
JS427,,Not conducting ,Not conducting ,Not conducting ,Not conducting ,Not conducting ,
JS426,,Not conducting ,Not conducting ,Not conducting ,Not conducting ,Not conducting ,
JS425,,Not conducting ,Not conducting ,Not conducting ,Not conducting ,Not conducting ,
JS424,,Not conducting ,Not conducting ,Not conducting ,Not conducting ,Not conducting ,
JS423,,Not conducting ,Not conducting ,Not conducting ,Not conducting ,Not conducting ,
JS422,,Not conducting ,Not conducting ,Not conducting ,Not conducting ,Not conducting ,
JS421,,Not conducting ,Not conducting ,Not conducting ,Not conducting ,Not conducting ,
JS420,,Not conducting ,Not conducting ,Not conducting ,Not conducting ,Not conducting ,
JS419,,Not conducting ,Not conducting ,Not conducting ,Not conducting ,Not conducting ,
JS418,,Not conducting ,Not conducting ,Not conducting ,Not conducting ,Not conducting ,
JS417,,2.06E+12,2.72E+03,1.83E+03,,0,
JS416,,Not conducting ,Not conducting ,Not conducting ,Not conducting ,Not conducting ,
JS415,,1.43E+12,3.45E+03,3.33E+03,,0,
JS414,,Not conducting ,Not conducting ,Not conducting ,Not conducting ,Not conducting ,
JS413,,8.00E+10,6.50E+01,?,,0,
JS412,,Not conducting ,Not conducting ,Not conducting ,Not conducting ,Not conducting ,
JS411,,Not conducting ,Not conducting ,Not conducting ,Not conducting ,Not conducting ,
JS410,,1.10E+12,2.24E+03,1.54E+03,,0,
JS409,,Not conducting ,Not conducting ,Not conducting ,Not conducting ,Not conducting ,
JS408,,Not conducting ,Not conducting ,Not conducting ,Not conducting ,Not conducting ,
JS407,,Not conducting ,Not conducting ,Not conducting ,Not conducting ,Not conducting ,
JS406,,Not conducting ,Not conducting ,Not conducting ,Not conducting ,Not conducting ,
JS405,,Not conducting ,Not conducting ,Not conducting ,Not conducting ,Not conducting ,
JS404,,4.99E+12,3.67E+02,1.44E+01,,0,
JS403,,Not conducting ,Not conducting ,Not conducting ,Not conducting ,Not conducting ,
JS402,,1.38E+12,1.03E+03,1.87E+03,,0,
JS401,,3.12E+12,6.39E+03,2.93E+02,3.34E+03,97,
JS400,,Not conducting ,Not conducting ,Not conducting ,Not conducting ,Not conducting ,
JS399,,3.72E+12,2.16E+03,3.84E+03,3.00E+03,95,
JS398,,Not conducting ,Not conducting ,Not conducting ,Not conducting ,Not conducting ,
JS397,,Not conducting ,Not conducting ,Not conducting ,Not conducting ,Not conducting ,
JS396,,Not conducting ,Not conducting ,Not conducting ,Not conducting ,Not conducting ,
JS395,,Not conducting ,Not conducting ,Not conducting ,Not conducting ,Not conducting ,
JS394,,Not conducting ,Not conducting ,Not conducting ,Not conducting ,Not conducting ,
JS393,,Not conducting ,Not conducting ,Not conducting ,Not conducting ,Not conducting ,
JS392,,2.87E+13,1.34E+03,1.36E+03,1.35E+03,119,
JS391,,Not conducting ,Not conducting ,Not conducting ,Not conducting ,Not conducting ,
JS390,,Not conducting ,Not conducting ,Not conducting ,Not conducting ,Not conducting ,
JS389,,Not conducting ,Not conducting ,Not conducting ,Not conducting ,Not conducting ,
JS388,,Not conducting ,Not conducting ,Not conducting ,Not conducting ,Not conducting ,
JS387,,Not conducting ,Not conducting ,Not conducting ,Not conducting ,Not conducting ,
JS386,,Not conducting ,Not conducting ,Not conducting ,Not conducting ,Not conducting ,
JS385,,7.81E+11,1.99E+03,1.31E+03,1.65E+03,24,
JS384,,1.34E+12,2.79E+03,1.71E+02,1.48E+03,28,
JS383,,6.24E+11,6.04E+03,8.01E+03,7.03E+03,92,
JS382,,-,1.17E+03,4.23E+03,2.70E+03,#VALUE!,
JS381,,9.91E+11,3.96E+03,1.35E+03,2.66E+03,44,
JS380,,2.58E+12,3.67E+02,7.30E+03,3.83E+03,102,
JS379,,8.95E+11,1.13E+03,1.23E+03,1.18E+03,18,
JS378,,Not conducting ,Not conducting ,Not conducting ,Not conducting ,Not conducting ,
JS377,,1.22E+12,4.93E+03,9.22E+03,7.08E+03,129,
JS376,,Not conducting ,Not conducting ,Not conducting ,Not conducting ,Not conducting ,
JS375,,9.34E+11,7.74E+03,TBD,7.74E+03,123,
JS374,,Not conducting ,Not conducting ,Not conducting ,Not conducting ,Not conducting ,
JS373,,3.59E+11,5.14E+02,3.38E+02,4.26E+02,4,
JS372,,Not conducting ,Not conducting ,Not conducting ,Not conducting ,Not conducting ,
JS371,,5.61E+11,1.11E+03,2.06E+03,1.59E+03,20,
JS370,,Not conducting ,Not conducting ,Not conducting ,Not conducting ,Not conducting ,
JS369,,Not conducting ,Not conducting ,Not conducting ,Not conducting ,Not conducting ,
JS368,,Not conducting ,Not conducting ,Not conducting ,Not conducting ,Not conducting ,
JS367,,Not conducting ,Not conducting ,Not conducting ,Not conducting ,Not conducting ,
JS366,,Not conducting ,Not conducting ,Not conducting ,Not conducting ,Not conducting ,
JS365,,Not conducting ,Not conducting ,Not conducting ,Not conducting ,Not conducting ,
JS364,,Not conducting ,Not conducting ,Not conducting ,Not conducting ,Not conducting ,
JS363,,Not conducting ,Not conducting ,Not conducting ,Not conducting ,Not conducting ,
JS362,,5.52E+11,5030,1290,3160,39,
JS361,,Not conducting ,Not conducting ,Not conducting ,Not conducting ,Not conducting ,
JS360,,Not conducting ,Not conducting ,Not conducting ,Not conducting ,Not conducting ,
JS359,,Not conducting ,Not conducting ,Not conducting ,Not conducting ,Not conducting ,
JS358,,Not conducting ,Not conducting ,Not conducting ,Not conducting ,Not conducting ,
JS357,,Not conducting ,Not conducting ,Not conducting ,Not conducting ,Not conducting ,
JS356,,Not conducting ,Not conducting ,Not conducting ,Not conducting ,Not conducting ,
JS355,,Not conducting ,Not conducting ,Not conducting ,Not conducting ,Not conducting ,
JS354,,Not conducting ,Not conducting ,Not conducting ,Not conducting ,Not conducting ,
JS353,,8.73E+12,3.49E+03,2.22E+02,1.86E+03,90,
JS352,,Not conducting ,Not conducting ,Not conducting ,Not conducting ,Not conducting ,
JS351,,Not conducting ,Not conducting ,Not conducting ,Not conducting ,Not conducting ,
JS350,,Not conducting ,Not conducting ,Not conducting ,Not conducting ,Not conducting ,
JS349,,Not conducting ,Not conducting ,Not conducting ,Not conducting ,Not conducting ,
JS348,,Not conducting ,Not conducting ,Not conducting ,Not conducting ,Not conducting ,
JS347,,Not conducting ,Not conducting ,Not conducting ,Not conducting ,Not conducting ,
JS346,,1.51E+11,4.68E+02,4.68E+02,4.68E+02,3,
JS345,,9.46E+11,4.07E+04,6.93E+02,2.07E+04,332,
JS344,,Not conducting ,Not conducting ,Not conducting ,Not conducting ,Not conducting ,
JS343,,Not conducting ,Not conducting ,Not conducting ,Not conducting ,Not conducting ,
JS342,,Not conducting ,Not conducting ,Not conducting ,Not conducting ,Not conducting ,
JS341,,9.46E+12,8.35E+03,6.56E+03,7.46E+03,378,
JS340,,Not conducting ,Not conducting ,Not conducting ,Not conducting ,Not conducting ,
JS339,,8.42E+12,4.51E+03,1.40E+04,9.26E+03,443,
JS338,,1.31E+13,5.07E+03,3.19E+03,4.13E+03,247,
JS337,,3.83E+12,8.39E+03,8.15E+03,8.27E+03,267,
JS336,,Not conducting ,Not conducting ,Not conducting ,Not conducting ,Not conducting ,
JS335,,Not conducting ,Not conducting ,Not conducting ,Not conducting ,Not conducting ,
JS334,,Not conducting ,Not conducting ,Not conducting ,Not conducting ,Not conducting ,
JS333,,7.83E+11,1.17E+04,1.62E+04,1.40E+04,204,
JS332,,7.36E+11,1.84E+03,5.44E+04,2.81E+04,398,
JS331,,Calibration ,Calibration ,Calibration ,Calibration ,Calibration ,
JS330,,Not conducting ,Not conducting ,Not conducting ,Not conducting ,Not conducting ,
JS329,,8.92E+11,1.61E+04,3.91E+03,1.00E+04,156,
JS328,,Not conducting ,Not conducting ,Not conducting ,Not conducting ,Not conducting ,
JS327,,Not conducting ,Not conducting ,Not conducting ,Not conducting ,Not conducting ,
JS326,,Calibration ,Calibration ,Calibration ,Calibration ,Calibration ,
JS325,,Calibration ,Calibration ,Calibration ,Calibration ,Calibration ,
JS324,,Not conducting ,Not conducting ,Not conducting ,Not conducting ,Not conducting ,
JS323,,Ga calibration ,Ga calibration ,Ga calibration ,Ga calibration ,Ga calibration ,
JS322,,Si nanowire ,Si nanowire ,Si nanowire ,Si nanowire ,Si nanowire ,
JS321,,Not conducting ,Not conducting ,Not conducting ,Not conducting ,Not conducting ,
JS320,,7.89E+11,1.13E+04,1.69E+04,1.41E+04,207,
JS319,,Not conducting ,Not conducting ,Not conducting ,Not conducting ,Not conducting ,
JS318,,8.92E+11,1.29E+04,1.29E+04,1.29E+04,201,
JS317,,Not conducting ,Not conducting ,Not conducting ,Not conducting ,Not conducting ,
JS316,,1.08E+12,1.32E+04,4.13E+03,8.67E+03,149,
JS315,,Not conducting ,Not conducting ,Not conducting ,Not conducting ,Not conducting ,
JS314,,Not conducting ,Not conducting ,Not conducting ,Not conducting ,Not conducting ,
JS313,,7.21E+11,1.22E+04,1.05E+04,1.14E+04,159,
JS312,,Not conducting ,Not conducting ,Not conducting ,Not conducting ,Not conducting ,
JS311,,9.83E+11,1.64E+04,8.61E+03,1.25E+04,205,
JS310,,8.65E+11,1.21E+04,1.40E+04,1.31E+04,200,
JS309,,8.34E+11,5.95E+03,1.68E+04,1.14E+04,171,
JS308,,1.08E+12,1.28E+04,1.23E+04,1.26E+04,215,
JS307,,9.08E+11,1.06E+04,1.22E+04,1.14E+04,179,
JS306,,Not conducting ,Not conducting ,Not conducting ,Not conducting ,Not conducting ,
JS305,,Not conducting ,Not conducting ,Not conducting ,Not conducting ,Not conducting ,
JS304,,1.58E+12,6.70E+03,2.56E+04,,0,
JS303,,Not conducting ,Not conducting ,Not conducting ,Not conducting ,Not conducting ,
JS302,,Not conducting ,Not conducting ,Not conducting ,Not conducting ,Not conducting ,
JS301,,1.91E+12,1.92E+04,5.62E+03,1.24E+04,283,
JS300,,6.23E+11,1.63E+04,1.03E+04,1.33E+04,173,
JS299,,1.28E+12,7.78E+03,6.65E+03,7.22E+03,135,
JS298,,2.09E+12,7.53E+03,1.56E+04,1.16E+04,276,
JS297,,1.56E+12,2.14E+04,4.88E+03,1.31E+04,271,
JS296,,9.50E+11,1.73E+04,9.36E+03,1.33E+04,214,
JS295,,1.42E+12,6.72E+03,1.67E+04,1.17E+04,230,
JS294,,1.18E+12,5.87E+03,1.07E+04,8.29E+03,148,
JS293,,Not conducting ,Not conducting ,Not conducting ,Not conducting ,Not conducting ,
JS291,,9.70E+11,1.10E+04,1.20E+04,1.15E+04,187,
JS287,,2.60E+12,5.00E+03,9.50E+03,7.25E+03,193,
JS286 - CDI 503,,Not conducting ,Not conducting ,Not conducting ,Not conducting ,Not conducting ,
JS285,,1.80E+12,6.30E+03,9.00E+03,7.65E+03,169,
JS284,,Not conducting ,Not conducting ,Not conducting ,Not conducting ,Not conducting ,
JS283,,Not conducting ,Not conducting ,Not conducting ,Not conducting ,Not conducting ,
JS282,,Not conducting ,Not conducting ,Not conducting ,Not conducting ,Not conducting ,
JS281,,Not conducting ,Not conducting ,Not conducting ,Not conducting ,Not conducting ,
JS280,,Not conducting ,Not conducting ,Not conducting ,Not conducting ,Not conducting ,
JS279,,Not conducting ,Not conducting ,Not conducting ,Not conducting ,Not conducting ,
JS278,,Not conducting ,Not conducting ,Not conducting ,Not conducting ,Not conducting ,
JS277,,Not conducting ,Not conducting ,Not conducting ,Not conducting ,Not conducting ,
JS276,,Not conducting ,Not conducting ,Not conducting ,Not conducting ,Not conducting ,
JS275,,Not conducting ,Not conducting ,Not conducting ,Not conducting ,Not conducting ,
JS274,,Not conducting ,Not conducting ,Not conducting ,Not conducting ,Not conducting ,
JS273,,Not conducting ,Not conducting ,Not conducting ,Not conducting ,Not conducting ,
JS272,,Not conducting ,Not conducting ,Not conducting ,Not conducting ,Not conducting ,
JS271,,Not conducting ,Not conducting ,Not conducting ,Not conducting ,Not conducting ,
JS270,,Not conducting ,Not conducting ,Not conducting ,Not conducting ,Not conducting ,
JS269,,Not conducting ,Not conducting ,Not conducting ,Not conducting ,Not conducting ,
JS268,,Not conducting ,Not conducting ,Not conducting ,Not conducting ,Not conducting ,
JS267,,Not conducting ,Not conducting ,Not conducting ,Not conducting ,Not conducting ,
JS266,,Not conducting ,Not conducting ,Not conducting ,Not conducting ,Not conducting ,
JS265,,Not conducting ,Not conducting ,Not conducting ,Not conducting ,Not conducting ,
JS264,,1.60E+12,2.50E+03,1.00E+04,6.25E+03,130,
JS261,,8.70E+11,9.20E+02,5.10E+02,7.15E+02,11,
JS259,,6.90E+11,-1.30E+02,-2.30E+03,-1.22E+03,-17,
JS257,,8.70E+11,5.70E+03,8.70E+03,7.20E+03,111,
JS256C,,3.00E+11,7.00E+02,1.00E+03,8.50E+02,8,
JS256A,,3.60E+11,1.20E+03,1.30E+03,1.25E+03,12,
JS254,,4.30E+11,6.10E+03,3.20E+03,4.65E+03,50,
JS250B,,1.60E+12,3.90E+03,3.10E+03,3.50E+03,73,
JS250A,,9.90E+11,2.60E+03,2.10E+03,2.35E+03,39,
JS249A,,6.10E+11,-,7.00E+02,7.00E+02,9,
JS248B(annealed),,9.90E+11,1.10E+04,4.20E+03,7.60E+03,125,
JS248A,,6.90E+11,3.70E+03,8.10E+03,5.90E+03,81,
JS245A,,6.30E+11,7.65E+03,4.13E+03,5.89E+03,77,
JS244A,,6.30E+11,1.62E+04,2.45E+03,9.33E+03,122,
JS230,,8.90E+11,3.50E+03,1.40E+04,8.75E+03,136,
JS229,,8.00E+11,1.10E+04,1.50E+04,1.30E+04,192,
JS227,,7.40E+11,3.20E+03,3.50E+03,3.35E+03,48,
JS226C,,6.30E+12,1.50E+02,2.30E+02,1.90E+02,8,
JS226B,,3.60E+12,1.20E+03,5.20E+03,3.20E+03,100,
JS226A,,9.30E+11,4.70E+03,1.90E+04,1.19E+04,189,
JS225,,3.40E+12,8.70E+02,8.90E+02,8.80E+02,27,
JS224,,3.20E+11,4.00E+02,1.60E+03,1.00E+03,9,
JS218,,6.30E+11,2.10E+03,-,2.10E+03,28,
JS207,,8.20E+11,1.90E+03,1.20E+04,6.95E+03,104,
JS206,,1.60E+12,4.30E+02,6.70E+01,2.49E+02,5,
JS204,,2.80E+12,8.40E+03,1.10E+04,9.70E+03,268,
JS203,,9.50E+11,1.80E+04,6.70E+03,1.24E+04,199,
JS202,,1.20E+12,1.80E+04,7.70E+03,1.29E+04,232,
JS201,,2.20E+12,6.70E+03,1.60E+04,1.14E+04,278,
JS200,,1.10E+12,3.10E+03,1.10E+04,7.05E+03,122,
JS199,,1.00E+12,9.30E+04,4.70E+03,4.89E+04,806,
JS198,,1.00E+12,1.80E+04,5.40E+03,1.17E+04,193,
JS190,,8.50E+11,2.30E+03,6.20E+03,4.25E+03,65,
JS189,,4.00E-02,3.90E+03,6.80E+02,2.29E+03,0,
JS188D,,2.40E+12,6.00E+03,8.30E+02,3.42E+03,87,
JS188C,,1.20E+12,4.70E+02,9.20E+03,4.84E+03,87,
JS188A,,4.90E+11,3.30E+03,7.70E+02,2.04E+03,24,
JS186,,3.40E+11,2.10E+03,9.20E+02,1.51E+03,15,
JS185,,5.40E+12,1.60E+03,1.70E+03,1.65E+03,63,
JS184,,5.30E+11,6.50E+01,9.30E+01,7.90E+01,1,
JS183,,3.00E+12,1.70E+03,5.00E+03,3.35E+03,96,
JS149,,1.80E+13,2.60E+02,1.80E+02,2.20E+02,15,
,,2.50E+11,,,1.50E+04,124,